,name,size,mean,median,variance,standard deviation,minimum,maximum,entropy,chi-square test p value,kolmogorov-smirnov test p value
0,dat_sample1_seed11,1000000,2144839444.607023,2144506369.5,1.5366707843055112e+18,1239625259.6270823,727.0,4294967222.0,9.96511102286536,0.9294091382017295,0.11129078341657106
1,dat_sample1_seed12,1000000,2146460435.073249,2145174486.0,1.537085315822197e+18,1239792448.6873586,6113.0,4294964760.0,9.965044182534886,0.26882261068833974,0.2850700280851346
2,dat_sample1_seed13,1000000,2149314161.395695,2150500717.5,1.537031017250385e+18,1239770550.2432234,14280.0,4294964893.0,9.965052945405708,0.36749831752748474,0.2024353643682706
3,dat_sample1_seed14,1000000,2147824694.836568,2148475389.0,1.537611785894913e+18,1240004752.3678741,1761.0,4294958811.0,9.965094397106117,0.8272147597477002,0.9282263657842292
4,dat_sample1_seed15,1000000,2148434334.32656,2149062754.0,1.5378636174541814e+18,1240106292.8048472,288.0,4294963938.0,9.965036380954606,0.20798065083566203,0.5638701724586497
5,dat_sample1_seed16,1000000,2147730543.038095,2147512417.5,1.5369442108915443e+18,1239735540.706785,798.0,4294959202.0,9.965077383083482,0.6630267214980311,0.871506633586445
6,dat_sample1_seed17,1000000,2147334083.321932,2146580071.5,1.536630910271355e+18,1239609176.422696,1823.0,4294962945.0,9.965100979390739,0.8755444578688214,0.8352332856693644
7,dat_sample1_seed18,1000000,2147463163.712581,2147573045.0,1.5369174330569382e+18,1239724740.8424735,4137.0,4294965751.0,9.96506657416202,0.5225017337864875,0.9821184648999248
8,dat_sample1_seed19,1000000,2149673695.352864,2149660232.5,1.539380237733761e+18,1240717630.137398,622.0,4294966660.0,9.965055313199102,0.3894031420419648,0.051063297598905044
9,dat_sample1_seed20,1000000,2145664240.49985,2145238587.5,1.5380901169682532e+18,1240197612.063599,7346.0,4294961861.0,9.965093471355452,0.8252888818000822,0.4502565397605992
10,dat_sample1_seed21,1000000,2147996261.744535,2149035632.5,1.5354127950688259e+18,1239117748.669926,15941.0,4294960972.0,9.964986573767687,0.010463399062971918,0.8344634793001646
