,name,size,mean,median,variance,standard deviation,minimum,maximum,repetition distance,entropy,chi-square test chi value,chi-square test p value,kolmogorov-smirnov test d value,kolmogorov-smirnov test p value,autocorrelation (lag 1),autocorrelation (lag 50),autocorrelation (lag 200),bit autocorrelation (lag 1),bit autocorrelation (lag 15),bit autocorrelation (lag 50),bit frequency ratio,pi approximation (monte carlo),difference with actual pi value
0,dat_MT_MT_chn_seed67,1000000,2148651957.286436,2148340899.5,1.5387878227952515e+18,1240478868.3388572,8895.0,4294962365.0,36003.0,9.96505222306542,1014.1279999999999,0.36255234190050756,0.0011718248270153886,0.12818962506378195,-7.401349878199961e-05,-0.001077729110327876,-0.0011234846135079306,-0.00020053378499874876,-4.25254708074197e-06,0.0001733099439317776,0.49997484375,3.140576,0.0010166535897933038
1,dat_MT_MT_ilv_seed67,1000000,2148707096.154703,2149281459.5,1.5365171764174487e+18,1239563300.6899843,3817.0,4294964079.0,46416.0,9.965048956058281,1020.78,0.30901263384816124,0.0007557240770756923,0.6172592889229003,-0.002287366586234865,-0.00038986200132526747,-0.00012069433050471802,-8.801592456033356e-05,-0.00021635968062791759,2.6577817198780853e-05,0.49989140625,3.14256,0.000967346410206904
2,dat_MT_MT_wmx_a0.05_seed67,1000000,2148283228.548502,2148744947.0,1.389959778313149e+18,1178965554.3369997,856491.0,4293417977.0,39043.0,9.928965120970476,35251.46399999999,0.0,0.024025193263247608,0.0,-0.0014356416005786561,0.0007101774262958634,0.0002307125738616442,-0.0065414846032716915,-8.001575936141649e-05,-4.08282509211037e-05,0.49993725,3.38,0.23840734641020678
3,dat_MT_MT_wmx_a0.25_seed67,1000000,2148340921.734656,2148331907.5,9.600029827335077e+17,979797419.2319082,1930816.0,4290584748.0,6474.0,9.7900890236009,186775.386,0.0,0.09415048805448413,0.0,-0.0015575868323585325,0.0013104697322679167,0.00036712724310013694,-0.015460300667407995,-3.4706631018043e-05,-6.164410562375399e-05,0.50006915625,3.827176,0.685583346410207
4,dat_MT_MT_wmx_a0.5_seed67,1000000,2148413038.184939,2148591588.0,7.681239908723405e+17,876426831.4425001,3259500.0,4291062509.0,17999.0,9.686183068005885,334647.506,0.0,0.12529175996549427,0.0,-0.0013818488459758141,0.0018420584541315617,0.0003733997430698998,-0.01534708227254309,-0.00015704932423775078,0.00015926319009013418,0.4998328125,3.899264,0.757671346410207
5,dat_MT_MT_wmx_a0.75_seed67,1000000,2148485154.385752,2148968698.5,9.602083354303347e+17,979902207.074938,1872671.0,4291540270.0,19227.0,9.790470338714808,186293.756,0.0,0.09399017393690348,0.0,-0.0008750478177932555,0.0014265732869278925,0.00010847611935289647,-0.01565311286500791,-4.808133847406983e-05,3.285617159987309e-05,0.50006859375,3.826536,0.6849433464102068
6,dat_MT_MT_wmx_a0.95_seed67,1000000,2148542847.321777,2147654309.5,1.3903294131690404e+18,1179122306.280837,399163.0,4293201368.0,30717.0,9.929090031517548,35151.198000000004,0.0,0.023905486300960184,0.0,-0.0005871820315276003,0.0008546700689900933,-9.07908852102631e-05,-0.006121848804010044,-0.00036931752512646773,0.0002578075223128495,0.5000354375,3.380264,0.23867134641020682
7,dat_MT_MT_xor_seed67,1000000,2148051261.599445,2148387250.5,1.5360204412501565e+18,1239362917.4903357,2046.0,4294965752.0,78207.0,9.965083422228311,972.556,0.719701616768996,0.0005892629677056727,0.8779620260186791,0.0004478358988259077,0.00045198069804596906,-0.0007749561880883259,-9.228574009564658e-05,6.337052031239523e-05,3.4245518277829624e-05,0.50012940625,3.14404,0.00244734641020683
8,dat_MT_none_seed67,1000000,2148557271.086899,2147836658.0,1.5362560164063468e+18,1239457952.6576715,1491.0,4294966220.0,3958.0,9.965063867606327,999.332,0.4910877637077793,0.0008735021221190631,0.4300937645862559,-0.0005413673707362931,0.000730795942029948,-0.00012727672396843282,-7.503138733658798e-05,-3.068763806059915e-05,-0.00010731263953232811,0.49999415625,3.144872,0.0032793464102067738
9,dat_MT_PCG_chn_seed67,1000000,2146881732.199955,2145165249.0,1.5358155033601687e+18,1239280236.0080502,5732.0,4294966008.0,57092.0,9.965018304708169,1060.7,0.08569539161088358,0.000692603570714545,0.7232349213940867,0.0016009975161435754,-0.00027931108006871644,-0.0013031197788772356,-0.00012750167376445408,0.00013652958491839031,-0.00020640786971387915,0.49990928125,3.14456,0.0029673464102066838
10,dat_MT_PCG_ilv_seed67,1000000,2149566729.430883,2150989416.5,1.535550469352636e+18,1239173300.7746074,13104.0,4294966220.0,18919.0,9.965052640362815,1014.776,0.3571849809406631,0.001176180909439939,0.12559559477788063,0.0002120843921961383,0.0013582089059546252,-0.0015481035561817377,-8.319955660660804e-05,9.170667494421188e-05,9.770664914234483e-05,0.49989596875,3.144544,0.0029513464102066678
11,dat_MT_PCG_wmx_a0.05_seed67,1000000,2147542210.418623,2147275021.0,1.390742380197381e+18,1179297409.5610409,318661.0,4292912831.0,56958.0,9.929155229248874,35078.48,0.0,0.023854537938252093,0.0,8.572482760591882e-05,0.0011317218498986122,-0.0005195494774279451,-0.006391536654440842,-0.0001253178753948426,-8.31304163784776e-05,0.499963375,3.378208,0.23661534641020676
12,dat_MT_PCG_wmx_a0.25_seed67,1000000,2147755907.420957,2146820640.0,9.607212309314843e+17,980163879.6300771,961861.0,4290939559.0,26754.0,9.790554234093289,186185.592,0.0,0.09397269827094674,0.0,-0.0003131750577690923,0.0013844319465463025,-0.0007758785131759749,-0.015545351163061384,0.00012143019063820949,-5.106979995032848e-05,0.50004271875,3.826248,0.684655346410207
13,dat_MT_PCG_wmx_a0.5_seed67,1000000,2148023028.64305,2146991176.5,7.686864935095391e+17,876747679.5005157,1765860.0,4290740055.0,5932.0,9.686504165400157,334138.306,0.0,0.12534743912291527,0.0,-0.0008599911420679918,0.0014789695829168683,-0.0008763123442142987,-0.01590055221513976,-4.595812909674767e-05,9.941689182944876e-05,0.5000718125,3.899776,0.758183346410207
14,dat_MT_PCG_wmx_a0.75_seed67,1000000,2148290149.615037,2147889153.0,9.605314220008402e+17,980067049.7475365,2191223.0,4292830535.0,40668.0,9.790545206465032,186203.602,0.0,0.09410431472289563,0.0,-0.000872432219575164,0.0011116167063784362,-0.0005104657098383193,-0.015519922766514463,0.00027342126412622776,5.3921260537399795e-05,0.50006375,3.825408,0.6838153464102068
15,dat_MT_PCG_wmx_a0.95_seed67,1000000,2148503846.367357,2147456308.5,1.3904007241232212e+18,1179152544.8911269,643567.0,4294502919.0,115663.0,9.92914129693724,35077.869999999995,0.0,0.023884453935056924,0.0,-0.0006096107224052209,0.0007924153247117618,-0.0001894469576030307,-0.0064557511331176315,-2.4532142558824668e-05,0.00024771791100453765,0.5000896875,3.379928,0.23833534641020693
16,dat_MT_PCG_xor_seed67,1000000,2146603627.584764,2146274261.0,1.5361216754084923e+18,1239403758.0258067,7421.0,4294964971.0,37736.0,9.965049729998903,1017.8,0.3325533644498037,0.000892934119299027,0.40232683294001303,0.0002882269915748018,7.883340430754217e-05,0.0007602840172504929,-1.8487897994907164e-05,-0.0001248316500363957,0.00016516835549259393,0.4999308125,3.142104,0.00051134641020667
17,dat_MT_XS_chn_seed67,1000000,2149150750.634157,2148741498.0,1.5377835999429527e+18,1240074030.025205,873.0,4294955893.0,inf,9.965028733752835,1047.73,0.13834198787920887,0.0010440440326482392,0.22558753459589975,-0.0018501134741986795,-0.0007550157836980708,0.00015173958721362806,0.0002490167634639384,1.4735532636747617e-05,0.0001645480874535069,0.5000601875,3.13968,0.0019126535897933117
18,dat_MT_XS_ilv_seed67,1000000,2147058119.171723,2145011465.5,1.5359591866569452e+18,1239338205.1147077,1491.0,4294966220.0,94991.0,9.965003911428756,1081.7179999999998,0.0346369939397457,0.0007997771318405955,0.5442339575096846,-0.0006475561173571754,-0.0013978244695172792,0.0016088960190944873,-0.0002949376657448101,-0.0004450939093935657,-0.00011471892120857768,0.49991140625,3.143472,0.001879346410206928
19,dat_MT_XS_wmx_a0.05_seed67,1000000,2147067764.833858,2146171681.5,1.39073526521196e+18,1179294392.9367087,2660004.0,4293908444.0,3842.0,9.92919684278336,35059.81,0.0,0.02385596520352362,0.0,-0.00012107617947256203,-0.0014858075177930218,-0.0006058504614553294,-0.006524906282929929,-0.0002514375323507649,-0.00019937503342683355,0.499997125,3.378656,0.23706334641020677
20,dat_MT_XS_wmx_a0.25_seed67,1000000,2147381345.117411,2147121898.0,9.60690892142364e+17,980148403.1218762,2789028.0,4292343516.0,37256.0,9.790398190569718,186402.804,0.0,0.09408073800067607,0.0,-0.00014202271755190592,-0.001143685458932612,-0.0005851754102400032,-0.015718281845752944,-0.00042281308831298894,-0.00023575058668840493,0.499987875,3.82484,0.6832473464102069
21,dat_MT_XS_wmx_a0.5_seed67,1000000,2147773320.440343,2148612029.0,7.68645666238149e+17,876724395.8269606,2210424.0,4292028171.0,25710.0,9.686418636413567,334264.146,0.0,0.12518146482385695,0.0,-0.00029298033799979626,-0.0001448976046957961,-0.0004160626603301155,-0.015490303234919267,-2.5083144219735472e-05,0.00011960434968612972,0.50014421875,3.898944,0.7573513464102071
22,dat_MT_XS_wmx_a0.75_seed67,1000000,2148165295.513409,2149145849.5,9.605007076597185e+17,980051380.1121442,1631819.0,4292321957.0,85965.0,9.790352763321618,186325.95,0.0,0.09397464521932597,0.0,-0.0004757356031097933,0.0006549684989266855,-0.00020571604762075643,-0.015713407991391776,5.799828045243607e-05,0.00014118577800697546,0.4999793125,3.82708,0.6854873464102069
23,dat_MT_XS_wmx_a0.95_seed67,1000000,2148478875.547208,2147951165.0,1.3903929331423946e+18,1179149241.2508242,1168935.0,4293666807.0,21997.0,9.928995410143166,35264.096,0.0,0.023858840588018296,0.0,-0.0005360304332792959,0.0007506667360527079,-0.0001340121186768417,-0.0063325573048456235,-0.00028052585786017195,-0.00021658840652994,0.50008046875,3.378472,0.2368793464102068
24,dat_MT_XS_xor_seed67,1000000,2147224306.54917,2146884259.5,1.537690412413207e+18,1240036456.082323,2366.0,4294967119.0,47359.0,9.965108650035186,937.06,0.9193094016397646,0.00043898848840595583,0.9904872790397427,-0.0002448508063246589,-0.0031837825842428126,-0.00013435982147557926,3.5888261127490615e-05,-8.795549110631205e-05,-0.00016645554283725017,0.5000670625,3.139128,0.0024646535897931976
25,dat_PCG_MT_chn_seed67,1000000,2148643183.185203,2148672569.0,1.53789983115314e+18,1240120893.7652571,679.0,4294958798.0,8984.0,9.965078846243944,979.296,0.6659682748895636,0.0007132107990086567,0.688865963104837,0.0005996921317039726,-0.00041845029513553304,0.00042812698600388496,-0.0001477783527753515,-3.399713259582903e-05,-0.00014624710277514008,0.50017471875,3.139664,0.0019286535897933277
26,dat_PCG_MT_ilv_seed67,1000000,2146888271.049468,2146284997.0,1.536149505796412e+18,1239414985.30412,2006.0,4294966774.0,29674.0,9.965082831218467,971.884,0.7248342711328466,0.0006530833352804688,0.7869621864920865,-0.0002495932029139628,0.001895560313108919,-0.0014140171213873384,-8.172331506481272e-05,6.143293558755174e-05,-0.00010156706516260613,0.50003378125,3.142408,0.0008153464102069741
27,dat_PCG_MT_wmx_a0.05_seed67,1000000,2148087988.236587,2148172800.0,1.38970614535064e+18,1178857983.5377288,1506460.0,4292986032.0,18517.0,9.92883593328041,35415.102,0.0,0.024057651326462648,0.0,-0.0013873606361321776,0.0007127858553549837,0.000223612260569917,-0.006311161319529105,-0.00022550462853652024,0.000542495552508099,0.5001295625,3.37944,0.2378473464102071
28,dat_PCG_MT_wmx_a0.25_seed67,1000000,2147364720.176933,2147647683.0,9.590886632793302e+17,979330722.1155324,1403235.0,4291413310.0,8126.0,9.78965491599106,187179.786,0.0,0.09414056197470422,0.0,-0.0012529200334782757,0.0012889406504142517,0.00015236036913341604,-0.015686981920970292,-0.00015888799093171187,0.0001037995053413017,0.4999430625,3.827304,0.6857113464102067
